year,total precipitation,pH,electrical conductivity(•ÏS/cm),1,2,3,4,5,6,7,8
1997,602.2,4.76,21.6,5.2,61.1,16.8,43.2,28,3.8,11,68.7
1998,869.3,4.96,23.5,2.7,66.7,20,53.4,33.2,3.8,15.4,59.6
1999,1187.5,5.04,18.1,0.8,58.9,16,29.6,16.9,2.7,12.7,58.1
2000,206.8,4.56,28.4,0.5,54.7,33.7,66.1,33.9,3.8,16,54.4
2001,286.5,4.7,19.2,1.1,32,21.5,49.4,36.8,2.2,7.7,35.3
2002,267,4.7,20.5,0.7,22.9,29.7,45.5,39.5,2.2,5.8,30.8
2003,273,4.4,27,4.1,29.6,32,58.6,39.7,2.1,8.7,29.1
2004,1001,4.73,19.1,1,37.8,25.1,46.3,26.2,2.2,9.7,35.8
2005,956,4.58,32.8,2,70.2,44.7,52.4,33,4,16.8,62
2006,530,4.79,48.2,2.2,141.9,53.2,103.5,56.4,7.9,34.7,123.6
2007,1248,4.52,32.8,3,49.2,36.3,70.2,39.4,3,12.6,43.7
2008,687.5,4.41,40.1,1.3,74.1,40.4,66.1,38.5,3.9,17.3,65
2009,723.5,4.66,32.1,2.3,90.5,35.9,57,36.6,3.9,19.8,77.5
2010,1412.5,4.75,22.7,1.1,42.5,26.2,43,31.2,2.1,10.4,37
2011,928,4.53,36,1.5,59.7,46.7,73.3,63.7,3.2,16.5,51.9
2012,1212.5,4.75,21.9,0.6,59.5,20.4,36.3,23.7,1.5,14,51.6
2013,946.5,4.57,31.2,1.7,68.4,34.8,57.5,45.3,3,15.4,57.7
2014,787.5,4.7,23.5,1.2,45.7,31.2,44.7,44.6,2.3,11.2,38.9
2015,644.5,4.62,35.5,1.3,101.7,42.6,61.1,55.1,3.4,21.2,85.7
2016,648.5,4.91,19.9,0.9,47.3,28.5,38.1,40.8,2.4,11.4,39.3
2017,471.5,4.7,30.8,1,79.1,48.6,54.3,55,2.8,17.9,65.6
2018,880,5.25,12,0.49,32.1,16.52,20.83,23.87,1.28,6.85,28.05
2019,656.5,5.14,26,1.1,82.1,40,44,58.8,2.5,19,74.1
2020,1079,5.234149551,14.47020389,0.288205334,52.30425424,15.41737157,19.29976218,23.02725843,1.377340303,10.1903158,44.93077322
2021,1076,5.32,19.72,0.7,62.7,27.2,31.1,46.1,1.9,14.7,55.1
