date,total precipitation,pH,electric conductivity(•ÏS/cm),NO3-,SO4-,NH4+
2006-01-12,13,4.8,48.4,77.139,119.442,49.949
2006-02-06,3,4.3,95.3,107.766,149.13,49.838
2006-02-13,8,4.5,69.4,74.591,125.375,68.077
2006-03-16,1,5.5,39.2,84.896,140.22,79.718
2006-03-17,1,4.6,48.4,117.732,131.392,53.718
2006-04-01,13,6.4,79.9,95.073,216.211,35.701
2006-04-03,6.5,5.7,31.6,36.207,137.867,84.042
2006-04-09,34.5,6.3,35.5,59.898,85.631,31.211
2006-04-18,4.5,6.2,92.9,108.588,233.387,92.857
2006-04-19,3,8.1,153.5,134.134,441.811,108.49
2006-05-05,54,6.2,8.4,11.031,25.358,5.765
2006-05-22,7,3.9,147.1,185.146,296.283,120.908
2006-05-27,3.5,6.1,64,93.863,240.736,234.166
2006-06-10,69.5,5.1,48.2,62.221,175.134,124.733
2006-06-20,5,4.2,159.5,246.706,615.009,650.109
2006-06-21,4,4.8,67.3,132.586,256.976,343.654
2006-06-25,4.5,4.5,42.5,47.625,110.219,111.816
2006-07-03,22,4.6,21.1,11.144,44.616,39.028
2006-07-04,8,5.5,7.9,10.693,17.697,41.134
2006-07-06,9.5,4.6,26.5,28.062,40.536,32.93
2006-07-09,5.5,5.4,14,17.918,36.309,46.623
2006-07-11,18.5,5,14.2,13.773,24.546,12.473
2006-07-12,10,4.5,62.9,68.769,79.739,26.61
2006-07-16,43.5,5,17.7,13.709,23.651,7.429
2006-07-18,3.5,4.6,43.5,56.915,112.363,144.025
2006-07-20,4.5,4.3,50.6,72.301,123.939,116.196
2006-07-25,29,4.7,19.7,20.015,48.489,34.704
2006-07-26,19,5.7,4.1,3.596,5.288,7.151
2006-07-27,9.5,4.1,82.6,97.073,85.735,19.015
2006-07-28,4,4,234,179.147,238.592,67.411
2006-07-29,1.5,4.5,24.7,25.337,26.42,6.209
2006-08-16,10.5,5,44.5,95.363,126.458,39.915
2006-08-25,1,4.3,45.6,118.313,80.53,51.501
2006-08-26,18,4.9,18,13.015,21.902,7.539
2006-09-05,4.5,4.5,33.9,63.108,71.744,44.738
2006-09-17,6,6.1,67.7,122.506,95.062,65.083
2006-10-22,15.5,4.7,44.1,125.393,116.506,63.863
2006-11-05,5,6.4,140.2,134.844,286.997,94.686
2006-11-06,17,5.4,143.2,18.579,167.951,24.171
2006-11-26,16.5,5.6,92.6,55.705,95.749,28.605
2006-11-28,1,4.4,70.6,105.25,109.719,66.802
2006-11-29,2.5,4.1,90.9,101.298,111.78,46.456
2006-11-30,1,3.5,267,494.896,516.866,427.364
2006-12-01,4,4,155.8,139.231,226.642,92.524
2006-12-16,4.5,4.7,240,93.218,238.113,21.454
